phi,pressure,Zd,psi6,muz,entropy
0.01,0.011251027126164128,381.4,0.045241859999999995,0.015640232935202517,4.3765356034124405
0.02,0.022964885908781544,526.2,0.03876802,0.01143844116923746,4.472378511557161
0.03,0.0351642816822914,620.6,0.03562234,0.009643520823736691,4.512657360705943
0.04,0.047870811766847335,690.8,0.03380332,0.008623157662365436,4.525381658915373
0.05,0.061114003399846684,749.2,0.03273176,0.007955109845482599,4.541935943011953
0.06,0.07491770202230887,799.6,0.03174992,0.0074888491036846135,4.555935365376071
0.07,0.08930860945552563,838.8,0.0312994,0.007151646857399501,4.591556431132572
0.08,0.10431575297121728,869.8,0.030851280000000002,0.006898595928770617,4.622881140876522
0.09,0.11997423207701272,895.2,0.03048168,0.0067055559107016645,4.654151574038299
0.1,0.13631614868420922,918.0,0.03037026,0.006556815241185892,4.6941442753293146
0.11,0.15338373157349766,932.2,0.03018022,0.0064444782421525584,4.741161856952791
0.12,0.1711908900160421,944.8,0.030108080000000002,0.006360461336981695,4.775284131167048
0.13,0.18981465694662408,952.4,0.030166739999999997,0.006300399256300872,4.814330237793319
0.14,0.20926344180286754,958.0,0.03021402,0.006252851560847229,4.845328335276475
0.15,0.22960551043083482,963.4,0.030467140000000004,0.0062211997334838025,4.874636072795679
0.16,0.2508780296332899,962.8,0.030941759999999995,0.006205986625685089,4.907009489841181
0.17,0.27312512506631775,968.8,0.030541900000000004,0.0062093443180773885,4.943386606706128
0.18,0.29639506608940447,963.2,0.030921900000000002,0.0062101682396677816,4.962757862056398
0.19,0.32076826021949445,963.8,0.03090594,0.006227859957849843,4.979385250854404
0.2,0.3463511387816943,955.2,0.03153652,0.006257203605651006,5.005981368941006
0.21,0.37309984098934407,949.4,0.03167446,0.006288623942174847,5.01322096574896
0.22,0.4011758251088423,945.0,0.032063339999999996,0.006333686471541269,5.0365098714623056
0.23,0.43059453592061486,939.4,0.03276924,0.00638129514766317,5.051882799160545
0.24,0.4614399371731013,928.6,0.03272042,0.006433476034980096,5.061571455971905
0.25,0.49386532804225114,921.2,0.03309312,0.00649575048003596,5.069230358452738
0.26,0.5280024608348076,913.6,0.03305766,0.006572092790939977,5.078640097893603
0.27,0.5636946756706791,906.2,0.0345645,0.0066491999571791525,5.08232287629063
0.28,0.6013905078225448,883.2,0.03381258,0.0067337286181670605,5.077844758086524
0.29,0.6409201729350311,869.6,0.034732940000000004,0.006834511641109772,5.088427787090273
0.3,0.6825084085257824,863.4,0.035498020000000005,0.006923221245612121,5.081408281714376
0.31,0.7263302426119103,843.4,0.03561936,0.007039791246723564,5.092245534058464
0.32,0.7726132647240948,834.4,0.03631778,0.007152144713635278,5.082082376032172
0.33,0.8212700746550385,825.4,0.03591516,0.0072763716324345746,5.080699410482474
0.34,0.872600399641993,803.4,0.03749014,0.007406355887744332,5.070743359549672
0.35,0.926719592747775,789.8,0.03844262,0.007543002658154137,5.06693432189937
0.36,0.9842730559610086,772.6,0.038113299999999996,0.0076987371248245,5.048112185300776
0.37,1.0445665198411984,759.0,0.03869338,0.00786849953746337,5.0477375025757185
0.38,1.1084475596113017,740.4,0.039210680000000005,0.00803200593725879,5.035835894815871
0.39,1.1762203925899124,725.0,0.04029498,0.00822947281448519,5.034833935084675
0.4,1.247797462343144,712.0,0.04175908,0.008424365624207583,5.014568392917084
0.41,1.3237412190755857,689.2,0.04234748,0.00861843598369392,4.994763342382292
0.42,1.404441844866794,676.0,0.04231178,0.008850617507583505,4.980891054053944
0.43,1.4899849231406086,652.2,0.042170059999999995,0.009112702256426582,4.970711507995032
0.44,1.580861103271845,635.4,0.04286582,0.009365803951245373,4.958870042240872
0.45,1.6773987635135712,618.8,0.04453119999999999,0.009649513584102749,4.942728437015671
0.46,1.7802413370134686,597.6,0.04628262,0.009957851732898551,4.9171477362929865
0.47,1.8897373375102504,577.2,0.046005700000000004,0.010292361386765328,4.900046488422731
0.48,2.0063298020462104,555.8,0.045875599999999996,0.010645912342267501,4.873086972912846
0.49,2.131008136059213,533.8,0.04787542,0.011043829646718933,4.851215084339353
0.5,2.2639937800590078,520.6,0.04951451999999999,0.011455939121612052,4.827089974435456
0.51,2.4062111307640235,503.4,0.04976537999999999,0.011903826604100156,4.801366447909059
0.52,2.5586559542298533,481.6,0.05174126,0.012405213828670764,4.7699638766771315
0.53,2.7218362081024474,459.2,0.053004779999999994,0.01295210398294467,4.73600108323281
0.54,2.897253604050733,440.6,0.0519602,0.013541273123416521,4.705935684098409
0.55,3.085480806008694,417.0,0.053700819999999996,0.014207861967779411,4.668902974612221
0.56,3.288281548793131,394.4,0.055812879999999995,0.014972943890390063,4.641551696837327
0.57,3.5060040154771044,376.0,0.05856212000000001,0.015805512119666694,4.595521987578165
0.58,3.7416614021760646,355.0,0.05846928,0.016715429288440893,4.566708783022395
0.59,3.9961217867198826,334.6,0.06243166,0.0177618210839921,4.519501395671188
0.6,4.270877161873456,313.4,0.061759259999999996,0.018966610546573462,4.472452638148498
0.61,4.56899073054763,292.2,0.06477948,0.020321568499943102,4.41956335465597
0.62,4.891148750264721,271.0,0.06613100000000001,0.021875567397529376,4.3647279467167195
0.63,5.240640431817947,247.6,0.06702846,0.02379096308197652,4.311446003096846
0.64,5.619031009208362,229.0,0.0717326,0.02605446773327868,4.245730032308122
0.65,6.025986240676244,206.8,0.07177822,0.028837613476009032,4.1672467272711575
0.66,6.461838292902703,182.8,0.07611988,0.03241091859025469,4.087546041826383
0.67,6.91776728886182,156.0,0.08061937999999999,0.037448929023044815,3.996908942499522
0.68,7.370688530963825,129.6,0.08326766,0.04489740941947651,3.888936245542177
0.69,7.7617722900871895,102.8,0.09186906,0.05774249924934752,3.8193309744773556
0.692,7.825560919971304,97.6,0.09374682,0.06138557054409306,3.8313338376213744
0.694,7.880093583347145,89.8,0.09670614000000002,0.06538689973463818,3.8393067312037723
0.696,7.919300993889047,84.0,0.09900592,0.07039156953021136,3.8488414057924842
0.698,7.9353531089716025,76.8,0.1025906,0.07704330398668283,3.9813478136894753
0.7,7.946157456094269,69.4,0.10810800000000001,0.08454395581169244,4.110858471633827
0.702,7.950451590016324,66.8,0.11358359999999998,0.09368948244993001,4.1148876333373385
0.704,7.950213150071946,58.4,0.121269,0.10488021630495813,4.236601589759426
0.706,7.940141120731504,42.4,0.1321828,0.11948202154021884,4.1826465176579894
0.708,7.943359879689387,35.2,0.1409812,0.13489214698387905,4.085839655862005
0.71,7.924132100900856,28.4,0.1586624,0.15880359488991208,4.035437157101419
0.712,7.9367777835508635,24.2,0.1765668,0.187362522748933,3.8665531564742155
0.714,7.923334418966078,22.4,0.20299680000000003,0.2311554381628382,3.622076495173443
0.716,7.922156428811322,15.8,0.254894,0.284364771754616,3.5573191941430053
0.718,7.942937288088773,13.4,0.30256700000000003,0.35651852529677197,3.2566494091125486
0.72,8.024704698456114,10.6,0.32697,0.3854381468133901,3.142976935303121
0.722,8.101699193521155,8.4,0.37703739999999997,0.4287269952239812,3.0489012306305945
0.724,8.16420848133939,6.0,0.43783479999999997,0.509400995369545,2.7523534743648126
0.726,8.26236522284373,6.0,0.4608046,0.5278341925007782,2.692394182973594
0.728,8.345599948489868,6.0,0.5392148,0.6147780343906832,2.2940942652666747
0.73,8.41809261470536,6.0,0.6642582,0.7401657872674707,1.5964125240753824
0.74,9.006644780956877,6.0,0.7437693999999999,0.8474662454194449,1.237100490691668
0.75,9.715910771588389,6.0,0.8085666,0.9024423700302499,0.7416036013193811
0.76,10.444629108683595,6.0,0.8660226,0.9684823558656136,0.3958703616052257
0.77,11.334665524036513,6.0,0.8879292,0.9768846302507955,0.28970727686585845
0.78,12.488202481428933,6.0,0.8832044,0.935456903656358,0.46492686146410184
0.79,13.60101966910123,6.0,0.9236428,0.9860205296047735,0.18061700876380002
0.8,15.189170094198298,6.0,0.9232678,0.9702285373319686,0.30811094177270293
0.81,16.941396468364367,6.0,0.9320458,0.9766435690462588,0.3297116185862942
0.82,19.895048684500296,6.0,0.9353168000000001,0.9786609504167955,0.3647937842964679
0.83,22.22556681128976,6.0,0.9551244000000001,0.9830869717382158,0.24291918315848063
0.84,26.9693025081293,6.0,0.9466733999999999,0.9792848609089069,0.3543025503862594
0.85,34.44298895809696,6.0,0.9575828,0.9868021787276371,0.29008322823734184
0.86,44.19582832010402,6.0,0.9639576,0.9885509326154256,0.2642906435385689
0.87,73.09775220326574,6.0,0.9682914,1.0005776668396553,0.23838667839651323
